entry,name,class,subclass,subclass_label,inventory_type,inventory_label,slot_key,quality,quality_label,required_level,item_level,old_armor,new_armor,old_damage_min,old_damage_max,new_damage_min,new_damage_max,old_dps,new_dps,old_stat_list,new_stat_list,old_weighted_budget,new_weighted_budget,socket_budget,target_budget,target_visible_budget,percent_over_under_before,percent_over_under_after,action,skip_reasons,warnings
29204,Felsteel Whisper Knives,2,16,Thrown,25,Thrown,ranged,3,Rare,70,110,0,0,134.0,135.0,137.0,138.0,61.13636363636363,62.49999999999999,"+10 Hit Rating, +10 Crit Rating, +20 Attack Power","+16 Hit Rating, +16 Crit Rating, +31 Attack Power",30.0,47.5,0.0,46.86524355147172,46.86524355147172,-35.98667642247236,1.3544289977520994,report-only,,weapon DPS median from 5 sample(s) within 10 ilvl
29237,Warpath Bracers,4,4,Plate,9,Wrist,wrist,4,Epic,70,110,608,624,0.0,0.0,0.0,0.0,0.0,0.0,"+21 Strength, +38 Attack Power, +21 Stamina, +11 Defense Rating","+10 Strength, +18 Attack Power, +10 Stamina, +5 Defense Rating",65.07,30.7,0.0,30.181216847147788,30.181216847147788,115.59766900567926,1.7188940905848142,report-only,,armor median from 15 sample(s) within 10 ilvl
29238,Lion's Heart Girdle,4,4,Plate,6,Waist,waist,4,Epic,70,110,782,870,0.0,0.0,0.0,0.0,0.0,0.0,"+26 Strength, +31 Stamina, +23 Defense Rating, +44 Attack Power","+11 Strength, +13 Stamina, +10 Defense Rating, +19 Attack Power",91.77,39.21,0.0,39.88232226230243,39.88232226230243,130.10194691381557,-1.6857650812824465,report-only,,armor median from 22 sample(s) within 20 ilvl
29239,Eaglecrest Warboots,4,4,Plate,8,Feet,feet,4,Epic,70,110,955,997,0.0,0.0,0.0,0.0,0.0,0.0,"+29 Strength, +42 Attack Power, +33 Stamina, +24 Defense Rating","+12 Strength, +17 Attack Power, +14 Stamina, +10 Defense Rating",96.11,39.88,0.0,39.88232226230243,39.88232226230243,140.98396118433928,-0.0058227860633461815,report-only,,armor median from 8 sample(s) within 10 ilvl
29240,Bands of Negation,4,1,Cloth,9,Wrist,wrist,4,Epic,70,110,81,84,0.0,0.0,0.0,0.0,0.0,0.0,"+25 Stamina, +22 Intellect, +29 Spell Power","+12 Stamina, +10 Intellect, +14 Spell Power",63.69,30.08,0.0,30.181216847147788,30.181216847147788,111.0252887501416,-0.33536370538139687,report-only,,armor median from 13 sample(s) within 10 ilvl
29241,Belt of Depravity,4,1,Cloth,6,Waist,waist,4,Epic,70,110,105,105,0.0,0.0,0.0,0.0,0.0,0.0,"+31 Stamina, +27 Intellect, +17 Hit Rating, +34 Spell Power","+13 Stamina, +11 Intellect, +7 Hit Rating, +14 Spell Power",94.00999999999999,38.75,0.0,39.88232226230243,39.88232226230243,135.71847040827942,-2.8391582988955597,report-only,,armor median from 11 sample(s) within 10 ilvl
29242,Boots of Blasphemy,4,1,Cloth,8,Feet,feet,4,Epic,70,110,128,134,0.0,0.0,0.0,0.0,0.0,0.0,"+36 Stamina, +29 Intellect, +36 Spell Power","+17 Stamina, +14 Intellect, +17 Spell Power",84.08000000000001,40.01,0.0,39.88232226230243,39.88232226230243,110.82022116719645,0.32013616674034767,report-only,,armor median from 8 sample(s) within 10 ilvl
29243,Wave-Fury Vambraces,4,3,Mail,9,Wrist,wrist,4,Epic,70,110,340,349,0.0,0.0,0.0,0.0,0.0,0.0,"+19 Stamina, +18 Intellect, +22 Spell Power, +6 Mana per 5 sec","+9 Stamina, +8 Intellect, +10 Spell Power, +3 Mana per 5 sec",64.65,30.130000000000003,0.0,30.181216847147788,30.181216847147788,114.20607501486349,-0.16969775409378532,report-only,,armor median from 13 sample(s) within 10 ilvl
29244,Wave-Song Girdle,4,3,Mail,6,Waist,waist,4,Epic,70,110,438,457,0.0,0.0,0.0,0.0,0.0,0.0,"+25 Stamina, +25 Intellect, +23 Crit Rating, +32 Spell Power","+11 Stamina, +11 Intellect, +10 Crit Rating, +14 Spell Power",92.27,40.41,0.0,39.88232226230243,39.88232226230243,131.35563519382984,1.3230867907517447,report-only,,armor median from 6 sample(s) within 10 ilvl
29245,Wave-Crest Striders,4,3,Mail,8,Feet,feet,4,Epic,70,110,535,558,0.0,0.0,0.0,0.0,0.0,0.0,"+28 Stamina, +26 Intellect, +33 Spell Power, +10 Mana per 5 sec","+11 Stamina, +11 Intellect, +13 Spell Power, +4 Mana per 5 sec",98.14,39.55,0.0,39.88232226230243,39.88232226230243,146.07393560119715,-0.8332570508727652,report-only,,armor median from 5 sample(s) within 10 ilvl
