required_level,item_level,quality,quality_label,inventory_type,inventory_label,subclass,subclass_label,slot_key,role,count,median_visible_budget,median_total_budget_with_sockets,median_target_budget,median_percent_over_under
0,5,2,Uncommon,20,Robe,1,Cloth,chest,caster,6,1.0,1.0,1.139,-12.196
0,10,2,Uncommon,5,Chest,2,Leather,chest,physical,1,1.0,1.0,2.527,-60.433
0,10,2,Uncommon,5,Chest,3,Mail,chest,physical,1,1.0,1.0,2.527,-60.433
0,10,2,Uncommon,6,Waist,1,Cloth,waist,caster,1,1.0,1.0,1.87,-46.531
0,10,2,Uncommon,7,Legs,2,Leather,legs,physical,1,1.0,1.0,2.527,-60.433
0,10,2,Uncommon,7,Legs,3,Mail,legs,generic,1,0.67,0.67,2.527,-73.49
0,10,2,Uncommon,8,Feet,1,Cloth,feet,generic,1,0.67,0.67,1.87,-64.176
0,10,2,Uncommon,9,Wrist,1,Cloth,wrist,caster,1,1.0,1.0,1.415,-29.345
0,10,2,Uncommon,9,Wrist,1,Cloth,wrist,generic,1,0.67,0.67,1.415,-52.661
0,10,2,Uncommon,9,Wrist,2,Leather,wrist,physical,1,1.0,1.0,1.415,-29.345
0,10,2,Uncommon,9,Wrist,3,Mail,wrist,physical,1,1.0,1.0,1.415,-29.345
0,10,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,generic,2,0.67,0.67,2.527,-73.49
0,10,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,generic,1,0.67,0.67,2.527,-73.49
0,10,2,Uncommon,17,Two-hand Weapon,5,Two-hand Mace,weapon_two_hand,physical,1,1.0,1.0,4.549,-78.018
0,10,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,generic,1,0.67,0.67,4.549,-85.272
0,10,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,physical,1,1.0,1.0,4.549,-78.018
0,10,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,2,2.0,2.0,4.549,-56.037
0,10,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,generic,1,0.67,0.67,4.549,-85.272
0,10,2,Uncommon,20,Robe,1,Cloth,chest,caster,1,1.67,1.67,2.527,-33.923
0,10,2,Uncommon,20,Robe,1,Cloth,chest,generic,1,0.67,0.67,2.527,-73.49
0,10,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,2,1.0,1.0,1.415,-29.345
0,11,2,Uncommon,5,Chest,1,Cloth,chest,caster,1,1.67,1.67,2.82,-40.783
0,11,2,Uncommon,5,Chest,2,Leather,chest,physical,1,1.67,1.67,2.82,-40.783
0,11,2,Uncommon,5,Chest,3,Mail,chest,physical,1,1.67,1.67,2.82,-40.783
0,11,2,Uncommon,7,Legs,1,Cloth,legs,caster,1,1.0,1.0,2.82,-64.541
0,11,2,Uncommon,7,Legs,2,Leather,legs,physical,2,1.67,1.67,2.82,-40.783
0,11,2,Uncommon,7,Legs,3,Mail,legs,physical,1,1.67,1.67,2.82,-40.783
0,11,2,Uncommon,10,Hands,3,Mail,hands,physical,1,1.0,1.0,2.087,-52.082
0,11,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,generic,1,0.67,0.67,2.82,-76.242
0,11,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,physical,1,1.0,1.0,2.82,-64.541
0,11,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,physical,2,1.0,1.0,2.82,-64.541
0,11,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,physical,1,1.0,1.0,2.82,-64.541
0,11,2,Uncommon,15,Ranged,2,Bow,ranged,physical,1,1.0,1.0,2.82,-64.541
0,11,2,Uncommon,17,Two-hand Weapon,5,Two-hand Mace,weapon_two_hand,physical,1,1.67,1.67,5.076,-67.102
0,11,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,physical,2,2.0,2.0,5.076,-60.601
0,11,2,Uncommon,20,Robe,1,Cloth,chest,caster,1,1.67,1.67,2.82,-40.783
0,12,2,Uncommon,5,Chest,2,Leather,chest,generic,1,1.34,1.34,3.117,-57.009
0,12,2,Uncommon,5,Chest,2,Leather,chest,physical,1,1.67,1.67,3.117,-46.422
0,12,2,Uncommon,7,Legs,1,Cloth,legs,caster,2,1.835,1.835,3.117,-41.128
0,12,2,Uncommon,7,Legs,2,Leather,legs,physical,1,2.0,2.0,3.117,-35.834
0,12,2,Uncommon,7,Legs,3,Mail,legs,physical,1,1.67,1.67,3.117,-46.422
0,12,2,Uncommon,10,Hands,1,Cloth,hands,caster,1,2.0,2.0,2.307,-13.29
0,12,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,physical,1,1.0,1.0,3.117,-67.917
0,12,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,physical,1,1.0,1.0,3.117,-67.917
0,12,2,Uncommon,14,Shield,6,Shield,shield,tank,2,0.67,0.67,2.307,-70.952
0,12,2,Uncommon,17,Two-hand Weapon,5,Two-hand Mace,weapon_two_hand,caster,1,2.0,2.0,5.61,-64.352
0,12,2,Uncommon,17,Two-hand Weapon,5,Two-hand Mace,weapon_two_hand,physical,1,2.0,2.0,5.61,-64.352
0,12,2,Uncommon,26,Ranged,18,Crossbow,ranged,physical,1,1.0,1.0,3.117,-67.917
0,12,2,Uncommon,26,Ranged,19,Wand,ranged,caster,1,1.0,1.0,3.117,-67.917
0,13,2,Uncommon,5,Chest,2,Leather,chest,physical,1,2.34,2.34,3.417,-31.528
0,13,2,Uncommon,5,Chest,3,Mail,chest,caster,1,2.34,2.34,3.417,-31.528
0,13,2,Uncommon,7,Legs,2,Leather,legs,physical,1,3.0,3.0,3.417,-12.215
0,13,2,Uncommon,7,Legs,3,Mail,legs,physical,1,3.0,3.0,3.417,-12.215
0,13,2,Uncommon,9,Wrist,1,Cloth,wrist,caster,1,1.0,1.0,1.914,-47.747
0,13,2,Uncommon,9,Wrist,2,Leather,wrist,generic,1,0.67,0.67,1.914,-64.991
0,13,2,Uncommon,9,Wrist,3,Mail,wrist,generic,1,0.67,0.67,1.914,-64.991
0,13,2,Uncommon,10,Hands,1,Cloth,hands,caster,1,2.0,2.0,2.529,-20.915
0,13,2,Uncommon,10,Hands,2,Leather,hands,caster,1,1.67,1.67,2.529,-33.964
0,13,2,Uncommon,10,Hands,2,Leather,hands,physical,1,2.0,2.0,2.529,-20.915
0,13,2,Uncommon,10,Hands,3,Mail,hands,physical,1,1.67,1.67,2.529,-33.964
0,13,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,generic,1,0.67,0.67,3.417,-80.395
0,13,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,physical,1,1.0,1.0,3.417,-70.738
0,13,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,physical,2,1.5,1.5,3.417,-56.108
0,13,2,Uncommon,16,Cloak,1,Cloth,cloak,generic,1,0.67,0.67,1.914,-64.991
0,13,2,Uncommon,17,Two-hand Weapon,5,Two-hand Mace,weapon_two_hand,physical,1,3.0,3.0,6.151,-51.231
0,13,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,generic,1,2.01,2.01,6.151,-67.325
0,13,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,physical,1,3.34,3.34,6.151,-45.704
0,13,2,Uncommon,21,Main-hand Weapon,4,Mace,weapon_main_hand,generic,1,0.67,0.67,3.417,-80.395
0,14,2,Uncommon,5,Chest,1,Cloth,chest,generic,1,2.01,2.01,3.721,-45.989
0,14,2,Uncommon,6,Waist,2,Leather,waist,caster,1,2.0,2.0,2.754,-27.376
0,14,2,Uncommon,7,Legs,3,Mail,legs,physical,1,3.34,3.34,3.721,-10.251
0,14,2,Uncommon,8,Feet,1,Cloth,feet,caster,1,1.67,1.67,2.754,-39.359
0,14,2,Uncommon,8,Feet,2,Leather,feet,physical,2,1.835,1.835,2.754,-33.367
0,14,2,Uncommon,8,Feet,3,Mail,feet,generic,1,1.34,1.34,2.754,-51.342
0,14,2,Uncommon,13,One-hand Weapon,0,Axe,weapon_one_hand,physical,1,1.0,1.0,3.721,-73.129
0,14,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,generic,1,0.67,0.67,3.721,-81.996
0,14,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,caster,1,1.0,1.0,3.721,-73.129
0,14,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,generic,1,0.67,0.67,3.721,-81.996
0,14,2,Uncommon,16,Cloak,1,Cloth,cloak,generic,1,0.67,0.67,2.084,-67.851
0,14,2,Uncommon,17,Two-hand Weapon,5,Two-hand Mace,weapon_two_hand,generic,1,2.01,2.01,6.699,-69.994
