expansion_band,ilvl_band,quality,quality_label,slot_key,role,count,median_visible_budget,median_special_weapon_budget,median_total_budget_with_sockets,median_target_budget,median_percent_over_under,max_abs_median_percent_over_under
burning_crusade,090-104,2,Uncommon,chest,caster,11,74.31,0.0,78.12,77.325,0.0,0.0
burning_crusade,090-104,2,Uncommon,chest,generic,3,67.11,0.0,72.12,70.095,0.0,0.0
burning_crusade,090-104,2,Uncommon,chest,physical,6,64.33,0.0,64.33,65.84,0.0,0.0
burning_crusade,090-104,2,Uncommon,cloak,caster,7,40.94,0.0,40.94,41.54,0.0,0.0
burning_crusade,090-104,2,Uncommon,cloak,generic,2,13.885,0.0,13.885,13.885,0.0,0.0
burning_crusade,090-104,2,Uncommon,cloak,physical,8,38.73,0.0,38.73,37.895,0.0,0.0
burning_crusade,090-104,2,Uncommon,feet,caster,10,50.2,0.0,50.2,50.2,0.0,0.0
burning_crusade,090-104,2,Uncommon,feet,generic,2,50.4,0.0,50.4,50.4,0.0,0.0
burning_crusade,090-104,2,Uncommon,feet,physical,7,43.1,0.0,43.1,43.1,0.0,0.0
burning_crusade,090-104,2,Uncommon,feet,tank,1,51.75,0.0,51.75,51.75,0.0,0.0
burning_crusade,090-104,2,Uncommon,finger,caster,11,39.9,0.0,39.9,39.9,0.0,0.0
burning_crusade,090-104,2,Uncommon,finger,generic,2,31.395,0.0,31.395,31.395,0.0,0.0
burning_crusade,090-104,2,Uncommon,finger,physical,10,37.03,0.0,37.03,36.025,0.0,0.0
burning_crusade,090-104,2,Uncommon,hands,caster,13,53.34,0.0,53.34,53.34,0.0,0.0
burning_crusade,090-104,2,Uncommon,hands,generic,3,51.0,0.0,51.0,51.0,0.0,0.0
burning_crusade,090-104,2,Uncommon,hands,physical,8,49.75,0.0,49.75,42.992,0.0,0.0
burning_crusade,090-104,2,Uncommon,head,caster,8,76.33,0.0,76.33,77.745,0.0,0.0
burning_crusade,090-104,2,Uncommon,head,generic,6,65.09,0.0,67.945,67.853,0.0,0.0
burning_crusade,090-104,2,Uncommon,head,physical,9,68.78,0.0,68.78,68.78,0.0,0.0
burning_crusade,090-104,2,Uncommon,held_in_off_hand,caster,3,40.9,0.0,40.9,40.9,0.0,0.0
burning_crusade,090-104,2,Uncommon,legs,caster,10,69.68,0.0,71.15,73.28,0.0,0.0
burning_crusade,090-104,2,Uncommon,legs,generic,1,67.11,0.0,67.11,67.11,0.0,0.0
burning_crusade,090-104,2,Uncommon,legs,physical,10,62.035,0.0,67.89,64.722,0.0,0.0
burning_crusade,090-104,2,Uncommon,neck,caster,8,39.86,0.0,39.86,36.65,0.0,0.0
burning_crusade,090-104,2,Uncommon,neck,generic,1,10.05,0.0,10.05,10.05,0.0,0.0
burning_crusade,090-104,2,Uncommon,neck,physical,5,37.06,0.0,37.06,37.06,0.0,0.0
burning_crusade,090-104,2,Uncommon,neck,tank,1,30.06,0.0,30.06,30.06,0.0,0.0
burning_crusade,090-104,2,Uncommon,ranged,caster,6,7.0,6.45,7.0,15.72,0.0,0.0
burning_crusade,090-104,2,Uncommon,ranged,generic,2,14.645,0.0,14.645,14.645,0.0,0.0
burning_crusade,090-104,2,Uncommon,ranged,physical,6,11.0,7.5,11.0,9.0,0.0,0.0
burning_crusade,090-104,2,Uncommon,shield,tank,3,34.75,0.0,34.75,34.75,0.0,0.0
burning_crusade,090-104,2,Uncommon,shoulder,caster,8,49.44,0.0,57.495,59.35,0.0,0.0
burning_crusade,090-104,2,Uncommon,shoulder,generic,2,57.82,0.0,57.82,57.82,0.0,0.0
burning_crusade,090-104,2,Uncommon,shoulder,physical,9,48.0,0.0,48.0,50.07,0.0,0.0
burning_crusade,090-104,2,Uncommon,waist,caster,8,55.34,0.0,55.34,55.34,0.0,0.0
burning_crusade,090-104,2,Uncommon,waist,generic,4,48.08,0.0,48.08,48.08,0.0,0.0
burning_crusade,090-104,2,Uncommon,waist,physical,9,51.75,0.0,51.75,51.75,0.0,0.0
burning_crusade,090-104,2,Uncommon,waist,tank,1,40.75,0.0,56.75,56.75,0.0,0.0
burning_crusade,090-104,2,Uncommon,weapon_main_hand,caster,15,0.0,29.24,0.0,0.0,0.0,0.0
burning_crusade,090-104,2,Uncommon,weapon_one_hand,caster,1,27.0,0.0,27.0,27.0,0.0,0.0
burning_crusade,090-104,2,Uncommon,weapon_one_hand,generic,5,18.71,7.0,18.71,20.855,0.0,0.0
burning_crusade,090-104,2,Uncommon,weapon_one_hand,physical,8,18.0,8.0,18.0,15.68,0.0,0.0
burning_crusade,090-104,2,Uncommon,weapon_two_hand,caster,7,86.6,0.0,86.6,88.96,0.0,0.0
burning_crusade,090-104,2,Uncommon,weapon_two_hand,generic,3,72.12,0.0,72.12,76.61,0.0,0.0
burning_crusade,090-104,2,Uncommon,weapon_two_hand,physical,14,46.545,10.0,46.545,54.025,0.0,0.0
burning_crusade,090-104,2,Uncommon,wrist,caster,11,39.47,0.0,39.47,40.78,0.0,0.0
burning_crusade,090-104,2,Uncommon,wrist,generic,1,38.73,0.0,38.73,38.73,0.0,0.0
burning_crusade,090-104,2,Uncommon,wrist,physical,11,37.06,0.0,37.06,38.37,0.0,0.0
burning_crusade,090-104,3,Rare,chest,caster,9,79.45,0.0,98.0,106.63,0.0,0.0
burning_crusade,090-104,3,Rare,chest,generic,1,72.72,0.0,96.72,96.72,0.0,0.0
burning_crusade,090-104,3,Rare,chest,physical,7,76.12,0.0,90.06,91.92,0.0,0.0
burning_crusade,090-104,3,Rare,chest,tank,3,76.0,0.0,95.0,97.5,0.0,0.0
burning_crusade,090-104,3,Rare,cloak,caster,5,54.89,0.0,54.89,57.35,0.0,0.0
burning_crusade,090-104,3,Rare,cloak,generic,1,20.1,0.0,20.1,20.1,0.0,0.0
burning_crusade,090-104,3,Rare,cloak,physical,6,49.365,0.0,49.365,49.365,0.0,0.0
burning_crusade,090-104,3,Rare,cloak,tank,2,37.225,0.0,37.225,37.225,0.0,0.0
burning_crusade,090-104,3,Rare,feet,caster,8,67.12,0.0,76.815,76.04,0.0,0.0
burning_crusade,090-104,3,Rare,feet,physical,5,66.71,0.0,66.71,73.07,0.0,0.0
burning_crusade,090-104,3,Rare,feet,tank,2,58.735,0.0,66.735,66.735,0.0,0.0
burning_crusade,090-104,3,Rare,finger,caster,5,47.56,0.0,47.56,49.1,0.0,0.0
burning_crusade,090-104,3,Rare,finger,generic,3,48.42,0.0,48.42,48.42,0.0,0.0
burning_crusade,090-104,3,Rare,finger,physical,4,50.405,0.0,50.405,50.323,0.0,0.0
burning_crusade,090-104,3,Rare,finger,tank,2,43.07,0.0,43.07,43.07,0.0,0.0
burning_crusade,090-104,3,Rare,hands,caster,10,64.43,0.0,71.74,71.56,0.0,0.0
burning_crusade,090-104,3,Rare,hands,generic,1,51.0,0.0,67.0,67.0,0.0,0.0
burning_crusade,090-104,3,Rare,hands,physical,3,50.06,0.0,62.78,62.78,0.0,0.0
burning_crusade,090-104,3,Rare,head,caster,12,97.45,0.0,99.64,104.86,0.0,0.0
burning_crusade,090-104,3,Rare,head,generic,3,90.45,0.0,102.45,102.45,0.0,0.0
burning_crusade,090-104,3,Rare,head,physical,8,85.195,0.0,98.92,98.92,0.0,0.0
burning_crusade,090-104,3,Rare,legs,caster,10,95.08,0.0,99.96,99.18,0.0,0.0
burning_crusade,090-104,3,Rare,legs,generic,3,96.88,0.0,101.13,107.005,0.0,0.0
