expansion_band,ilvl_band,quality,quality_label,slot_key,role,peer_group,count,median_visible_budget,median_special_weapon_budget,median_total_budget_with_sockets,median_target_budget,median_percent_over_under,max_abs_median_percent_over_under,peer_outlier_count,sql_blocked_count
burning_crusade,090-104,2,Uncommon,chest,caster,quality=2;slot=chest;armor=1;weapon=none;role=caster,2,41.42,0.0,41.42,41.42,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,chest,caster,quality=2;slot=chest;armor=4;weapon=none;role=caster,1,82.6,0.0,82.6,82.6,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,chest,generic,quality=2;slot=chest;armor=2;weapon=none;role=generic,1,49.08,0.0,73.08,73.08,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,chest,generic,quality=2;slot=chest;armor=3;weapon=none;role=generic,1,72.12,0.0,72.12,72.12,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,chest,generic,quality=2;slot=chest;armor=4;weapon=none;role=generic,1,67.11,0.0,67.11,67.11,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,chest,healer,quality=2;slot=chest;armor=1;weapon=none;role=healer,4,64.11,0.0,74.205,74.205,0.0,0.0,0,4
burning_crusade,090-104,2,Uncommon,chest,healer,quality=2;slot=chest;armor=2;weapon=none;role=healer,1,81.68,0.0,81.68,81.68,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,chest,healer,quality=2;slot=chest;armor=3;weapon=none;role=healer,3,87.27,0.0,87.27,87.27,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,chest,physical,quality=2;slot=chest;armor=2;weapon=none;role=physical,2,55.62,0.0,55.62,55.62,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,chest,physical,quality=2;slot=chest;armor=3;weapon=none;role=physical,2,79.265,0.0,79.265,79.265,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,chest,physical,quality=2;slot=chest;armor=4;weapon=none;role=physical,2,54.455,0.0,54.455,54.455,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,cloak,caster,quality=2;slot=cloak;armor=1;weapon=none;role=caster,2,39.97,0.0,39.97,39.97,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,cloak,generic,quality=2;slot=cloak;armor=1;weapon=none;role=generic,2,13.885,0.0,13.885,13.885,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,cloak,healer,quality=2;slot=cloak;armor=1;weapon=none;role=healer,5,40.94,0.0,40.94,40.94,0.0,0.0,0,5
burning_crusade,090-104,2,Uncommon,cloak,physical,quality=2;slot=cloak;armor=1;weapon=none;role=physical,8,38.73,0.0,38.73,39.06,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,feet,caster,quality=2;slot=feet;armor=1;weapon=none;role=caster,1,48.42,0.0,48.42,48.42,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,feet,caster,quality=2;slot=feet;armor=2;weapon=none;role=caster,1,40.79,0.0,56.79,56.79,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,feet,caster,quality=2;slot=feet;armor=3;weapon=none;role=caster,2,50.145,0.0,50.145,50.145,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,feet,generic,quality=2;slot=feet;armor=2;weapon=none;role=generic,1,51.05,0.0,51.05,51.05,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,feet,generic,quality=2;slot=feet;armor=4;weapon=none;role=generic,1,49.75,0.0,49.75,49.75,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,feet,healer,quality=2;slot=feet;armor=1;weapon=none;role=healer,4,59.025,0.0,59.025,57.948,1.664,1.664,0,2
burning_crusade,090-104,2,Uncommon,feet,healer,quality=2;slot=feet;armor=2;weapon=none;role=healer,2,50.2,0.0,50.2,50.2,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,feet,physical,quality=2;slot=feet;armor=2;weapon=none;role=physical,2,43.57,0.0,43.57,43.57,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,feet,physical,quality=2;slot=feet;armor=3;weapon=none;role=physical,3,51.0,0.0,51.0,51.0,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,feet,physical,quality=2;slot=feet;armor=4;weapon=none;role=physical,2,38.75,0.0,38.75,38.75,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,feet,tank,quality=2;slot=feet;armor=4;weapon=none;role=tank,1,51.75,0.0,51.75,51.75,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,finger,caster,quality=2;slot=finger;armor=0;weapon=none;role=caster,4,29.07,0.0,29.07,29.07,0.0,0.0,0,4
burning_crusade,090-104,2,Uncommon,finger,generic,quality=2;slot=finger;armor=0;weapon=none;role=generic,2,31.395,0.0,31.395,31.395,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,finger,healer,quality=2;slot=finger;armor=0;weapon=none;role=healer,7,40.47,0.0,40.47,40.47,0.0,0.0,0,4
burning_crusade,090-104,2,Uncommon,finger,physical,quality=2;slot=finger;armor=0;weapon=none;role=physical,10,37.03,0.0,37.03,36.75,4.426,4.426,4,3
burning_crusade,090-104,2,Uncommon,hands,caster,quality=2;slot=hands;armor=1;weapon=none;role=caster,5,53.34,0.0,53.34,53.34,0.0,0.0,0,5
burning_crusade,090-104,2,Uncommon,hands,caster,quality=2;slot=hands;armor=2;weapon=none;role=caster,1,48.76,0.0,48.76,48.76,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,hands,caster,quality=2;slot=hands;armor=3;weapon=none;role=caster,1,50.2,0.0,50.2,50.2,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,hands,caster,quality=2;slot=hands;armor=4;weapon=none;role=caster,1,60.12,0.0,60.12,60.12,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,hands,generic,quality=2;slot=hands;armor=3;weapon=none;role=generic,1,50.08,0.0,50.08,50.08,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,hands,generic,quality=2;slot=hands;armor=4;weapon=none;role=generic,2,51.0,0.0,51.0,51.0,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,hands,healer,quality=2;slot=hands;armor=1;weapon=none;role=healer,1,59.26,0.0,59.26,59.26,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,hands,healer,quality=2;slot=hands;armor=2;weapon=none;role=healer,2,51.93,0.0,51.93,51.93,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,hands,healer,quality=2;slot=hands;armor=3;weapon=none;role=healer,2,60.39,0.0,60.39,60.39,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,hands,physical,quality=2;slot=hands;armor=2;weapon=none;role=physical,3,51.0,0.0,51.0,55.07,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,hands,physical,quality=2;slot=hands;armor=3;weapon=none;role=physical,1,50.0,0.0,50.0,50.0,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,hands,physical,quality=2;slot=hands;armor=4;weapon=none;role=physical,4,43.91,0.0,43.91,43.91,0.0,0.0,0,4
burning_crusade,090-104,2,Uncommon,head,caster,quality=2;slot=head;armor=1;weapon=none;role=caster,3,49.2,0.0,73.2,73.2,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,head,caster,quality=2;slot=head;armor=4;weapon=none;role=caster,1,85.12,0.0,85.12,85.12,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,head,generic,quality=2;slot=head;armor=2;weapon=none;role=generic,2,66.59,0.0,66.59,66.59,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,head,generic,quality=2;slot=head;armor=3;weapon=none;role=generic,2,56.595,0.0,68.595,68.595,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,head,generic,quality=2;slot=head;armor=4;weapon=none;role=generic,2,57.26,0.0,69.26,69.26,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,head,healer,quality=2;slot=head;armor=1;weapon=none;role=healer,4,76.33,0.0,76.33,76.33,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,head,physical,quality=2;slot=head;armor=2;weapon=none;role=physical,5,68.78,0.0,68.78,68.78,0.0,0.0,0,5
burning_crusade,090-104,2,Uncommon,head,physical,quality=2;slot=head;armor=3;weapon=none;role=physical,3,68.78,0.0,68.78,68.78,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,head,physical,quality=2;slot=head;armor=4;weapon=none;role=physical,1,46.09,0.0,46.09,46.09,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,held_in_off_hand,healer,quality=2;slot=held_in_off_hand;armor=0;weapon=none;role=healer,3,40.9,0.0,40.9,40.9,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,legs,caster,quality=2;slot=legs;armor=1;weapon=none;role=caster,3,61.97,0.0,61.97,61.97,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,legs,caster,quality=2;slot=legs;armor=4;weapon=none;role=caster,3,75.68,0.0,75.68,75.68,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,legs,generic,quality=2;slot=legs;armor=2;weapon=none;role=generic,1,67.11,0.0,67.11,67.11,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,legs,healer,quality=2;slot=legs;armor=1;weapon=none;role=healer,1,69.26,0.0,69.26,69.26,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,legs,healer,quality=2;slot=legs;armor=2;weapon=none;role=healer,2,68.73,0.0,68.73,68.73,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,legs,healer,quality=2;slot=legs;armor=3;weapon=none;role=healer,1,86.6,0.0,86.6,86.6,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,legs,physical,quality=2;slot=legs;armor=2;weapon=none;role=physical,4,65.925,0.0,68.925,68.925,0.0,0.0,0,4
burning_crusade,090-104,2,Uncommon,legs,physical,quality=2;slot=legs;armor=3;weapon=none;role=physical,3,61.0,0.0,67.0,67.0,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,legs,physical,quality=2;slot=legs;armor=4;weapon=none;role=physical,3,56.11,0.0,56.11,56.11,0.0,0.0,0,3
burning_crusade,090-104,2,Uncommon,neck,caster,quality=2;slot=neck;armor=0;weapon=none;role=caster,2,35.86,0.0,35.86,35.86,0.0,0.0,0,2
burning_crusade,090-104,2,Uncommon,neck,generic,quality=2;slot=neck;armor=0;weapon=none;role=generic,1,10.05,0.0,10.05,10.05,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,neck,healer,quality=2;slot=neck;armor=0;weapon=none;role=healer,6,43.26,0.0,43.26,43.26,0.0,0.0,0,6
burning_crusade,090-104,2,Uncommon,neck,physical,quality=2;slot=neck;armor=0;weapon=none;role=physical,5,37.06,0.0,37.06,37.06,0.0,0.0,0,5
burning_crusade,090-104,2,Uncommon,neck,tank,quality=2;slot=neck;armor=0;weapon=none;role=tank,1,30.06,0.0,30.06,30.06,0.0,0.0,0,1
burning_crusade,090-104,2,Uncommon,ranged,caster,quality=2;slot=ranged;armor=none;weapon=ranged:caster;role=caster,5,5.0,12.9,5.0,5.0,0.0,0.0,0,5
burning_crusade,090-104,2,Uncommon,ranged,caster,quality=2;slot=ranged;armor=none;weapon=ranged:wand;role=caster,1,9.0,0.0,9.0,9.0,0.0,0.0,0,1
