expansion_band,ilvl_band,item_level,origin_expansion,origin_label,pvp_family,quality,quality_label,slot_key,role,peer_group,count,median_visible_budget,median_special_weapon_budget,median_total_budget_with_sockets,median_target_budget,median_percent_over_under,max_abs_median_percent_over_under,peer_outlier_count,sql_blocked_count
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,chest,caster,origin=-1;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=caster,1,28.0,0.0,28.0,28.0,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,chest,physical,origin=-1;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=physical,1,45.4,0.0,45.4,45.4,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,chest,physical,origin=-1;quality=2;slot=chest;armor=4;weapon=none;pvp=none;role=physical,1,46.09,0.0,46.09,46.09,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,cloak,generic,origin=-1;quality=2;slot=cloak;armor=1;weapon=none;pvp=none;role=generic,1,10.72,0.0,10.72,10.72,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,cloak,physical,origin=-1;quality=2;slot=cloak;armor=1;weapon=none;pvp=none;role=physical,2,25.71,0.0,25.71,25.71,0.035,0.035,0,2
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,feet,healer,origin=-1;quality=2;slot=feet;armor=1;weapon=none;pvp=none;role=healer,1,21.0,0.0,21.0,21.0,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,feet,physical,origin=-1;quality=2;slot=feet;armor=2;weapon=none;pvp=none;role=physical,1,34.05,0.0,34.05,34.05,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,feet,physical,origin=-1;quality=2;slot=feet;armor=4;weapon=none;pvp=none;role=physical,1,34.4,0.0,34.4,34.4,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,finger,caster,origin=-1;quality=2;slot=finger;armor=0;weapon=none;pvp=none;role=caster,1,16.0,0.0,16.0,16.0,0.0,0.0,0,1
burning_crusade,090-104,90,-1,custom_or_unknown,none,2,Uncommon,finger,physical,origin=-1;quality=2;slot=finger;armor=0;weapon=none;pvp=none;role=physical,2,25.71,0.0,25.71,25.71,0.035,0.035,0,2
