entry,name,class,subclass,subclass_label,inventory_type,inventory_label,slot_key,role,quality,quality_label,origin_expansion,origin_label,origin_source,present_in_vanilla,present_in_tbc,present_in_wrath,pvp_family,required_level,item_level,expansion_band,ilvl_band,old_armor,new_armor,armor_peer_median,armor_sample_count,armor_peer_window,armor_classification,armor_change_percent,old_damage_min,old_damage_max,new_damage_min,new_damage_max,weapon_damage_peer_median_dps,weapon_damage_sample_count,weapon_damage_peer_window,weapon_damage_change_percent,old_dps,new_dps,old_stat_list,new_stat_list,old_weighted_budget,new_weighted_budget,special_weapon_budget,special_weapon_stat_list,socket_budget,target_budget,target_visible_budget,target_visible_budget_unclamped,target_source,target_sample_count,peer_group,peer_window,peer_p10,peer_p25,peer_p75,peer_p90,peer_outlier,sql_blocked,sql_block_reasons,percent_over_under_before,percent_over_under_after,action,skip_reasons,warnings,special_effect_flags
13726,[PH] Rising Dawn Gloves,4,1,Cloth,10,Hands,hands,generic,1,1,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,1,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,"+2 Hit Rating, +1 Agility","+2 Hit Rating, +1 Agility",3.0,3.0,0.0,,0.0,3.0,3.0,3.0,no_peer_skip,0,origin=-1;quality=1;slot=hands;armor=1;weapon=none;pvp=none;role=generic,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,quality 1 not configured; name matched exclusion pattern [PH],SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: not enough comparable peer samples,
13732,[PH] Rising Dawn Mitts,4,2,Leather,10,Hands,hands,physical,1,1,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,1,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,"+2 Agility, +1 Hit Rating","+2 Agility, +1 Hit Rating",3.0,3.0,0.0,,0.0,3.0,3.0,3.0,no_peer_skip,0,origin=-1;quality=1;slot=hands;armor=2;weapon=none;pvp=none;role=physical,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,quality 1 not configured; name matched exclusion pattern [PH],SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: not enough comparable peer samples,
13733,[PH] Rising Dawn Fists,4,3,Mail,10,Hands,hands,physical,1,1,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,1,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,"+4 Attack Power, +1 Hit Rating","+4 Attack Power, +1 Hit Rating",3.0,3.0,0.0,,0.0,3.0,3.0,3.0,no_peer_skip,0,origin=-1;quality=1;slot=hands;armor=3;weapon=none;pvp=none;role=physical,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,quality 1 not configured; name matched exclusion pattern [PH],SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: not enough comparable peer samples,
13734,[PH] Rising Dawn Gauntlets,4,4,Plate,10,Hands,hands,physical,1,1,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,1,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,"+2 Strength, +1 Hit Rating","+2 Strength, +1 Hit Rating",3.0,3.0,0.0,,0.0,3.0,3.0,3.0,no_peer_skip,0,origin=-1;quality=1;slot=hands;armor=4;weapon=none;pvp=none;role=physical,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,quality 1 not configured; name matched exclusion pattern [PH],SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: not enough comparable peer samples,
17343,Test Random Chest,4,1,Cloth,5,Chest,chest,physical,1,1,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,1,1,classic_leveling,000-009,3,3,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+100 Strength,+100 Strength,100.0,100.0,0.0,,0.0,100.0,100.0,100.0,no_peer_skip,0,origin=-1;quality=1;slot=chest;armor=1;weapon=none;pvp=none;role=physical,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,quality 1 not configured; name matched exclusion pattern Test ,SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: not enough comparable peer samples,
30197,QAEnchant Ring +4 Stats,0,8,8,0,Non-equip,,healer,1,1,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,70,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,"+10 Spirit, +18 Intellect, +17 Stamina, +14 Crit Rating, +28 Spell Power","+10 Spirit, +18 Intellect, +17 Stamina, +14 Crit Rating, +28 Spell Power",77.47,77.47,0.0,,0.0,77.47,77.47,77.47,unclassified,0,,,0.0,0.0,0.0,0.0,False,True,item could not be peer-classified; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,not armor or weapon class; quality 1 not configured; cannot classify inventory slot; name matched exclusion pattern QA,SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: item could not be peer-classified,
42943,Bloodied Arcanite Reaper,2,1,Two-hand Axe,17,Two-hand Weapon,weapon_two_hand,generic,7,7,2,wrath,origin_manifest,False,False,True,none,0,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,1.0,0.0,1.0,0.0,0.0,0,,0.0,0.0,0.0,+13 Stamina,+13 Stamina,8.71,8.71,0.0,,0.0,8.71,8.71,8.71,no_peer_skip,0,origin=2;quality=7;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=generic,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin wrath/2 did not match SQL origin filter,0.0,0.0,skipped,scaling item excluded; quality 7 not configured,SQL blocked: origin wrath/2 did not match SQL origin filter; normal stats unchanged: not enough comparable peer samples,
42945,Venerable Dal'Rend's Sacred Charge,2,7,Sword,21,Main-hand Weapon,weapon_main_hand,physical,7,7,2,wrath,origin_manifest,False,False,True,none,0,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,1.0,0.0,1.0,0.0,0.0,0,,0.0,0.0,0.0,+4 Strength,+4 Strength,4.0,4.0,0.0,,0.0,4.0,4.0,4.0,no_peer_skip,0,origin=2;quality=7;slot=weapon_main_hand;armor=none;weapon=weapon_main_hand:physical;pvp=none;role=physical,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin wrath/2 did not match SQL origin filter,0.0,0.0,skipped,scaling item excluded; quality 7 not configured,SQL blocked: origin wrath/2 did not match SQL origin filter; normal stats unchanged: not enough comparable peer samples,
49706,Monster - Frostmourne (Arthas Only Special),2,8,Two-hand Sword,17,Two-hand Weapon,weapon_two_hand,tank,4,Epic,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,1,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,"+14 Strength, +20 Agility, +10 Stamina, +20 Parry Rating","+14 Strength, +20 Agility, +10 Stamina, +20 Parry Rating",60.7,60.7,0.0,,0.0,60.7,60.7,60.7,no_peer_skip,0,origin=-1;quality=4;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=tank,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,name matched exclusion pattern Monster -,SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: not enough comparable peer samples,
50840,"Monster - Frostmourne, Broken (Arthas Only Special)",2,8,Two-hand Sword,17,Two-hand Weapon,weapon_two_hand,tank,4,Epic,-1,custom_or_unknown,missing_from_origin_manifest,False,False,False,none,1,1,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,"+14 Strength, +20 Agility, +10 Stamina, +20 Parry Rating","+14 Strength, +20 Agility, +10 Stamina, +20 Parry Rating",60.7,60.7,0.0,,0.0,60.7,60.7,60.7,no_peer_skip,0,origin=-1;quality=4;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=tank,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; origin_expansion missing; select custom_or_unknown explicitly for SQL,0.0,0.0,skipped,name matched exclusion pattern Monster -,SQL blocked: origin_expansion missing; select custom_or_unknown explicitly for SQL; normal stats unchanged: not enough comparable peer samples,
17,Martin Fury,4,4,Plate,4,Shirt,,physical,6,6,0,vanilla,origin_manifest,True,True,True,none,0,5,classic_leveling,000-009,0,0,0.0,0,,not_checked,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+34 Strength,+34 Strength,34.0,34.0,0.0,,0.0,34.0,34.0,34.0,unclassified,0,,,0.0,0.0,0.0,0.0,False,True,item could not be peer-classified; special-effect/itemset rows require --allow-special-effects,0.0,0.0,skipped,shirt excluded; quality 6 not configured; cannot classify inventory slot,spell payload detected and left unchanged; SQL blocked: special-effect/itemset rows require --allow-special-effects; normal stats unchanged: item could not be peer-classified,spell_payload
16604,Moon Robes of Elune,4,1,Cloth,20,Robe,chest,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,5,classic_leveling,000-009,10,15,14.5,10,within 5 ilvl,peer_median,50.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,2.0,1.2,2.0,peer_+/-10_ilvl,10,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,+/-10_ilvl,1.0,1.0,2.75,3.34,True,True,"peer target requires 100.0% visible budget change; armor updates require allow_armor_updates=true; armor change requires 50.0% move, above +/-15% armor cap",-50.0,-50.0,report-only,,"SQL blocked: peer target requires 100.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor median from 10 sample(s) within 5 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 50.0% move, above +/-15% armor cap",
16605,Friar's Robes of the Light,4,1,Cloth,20,Robe,chest,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,5,classic_leveling,000-009,10,15,14.5,10,within 5 ilvl,peer_median,50.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,2.0,1.2,2.0,peer_+/-10_ilvl,10,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,+/-10_ilvl,1.0,1.0,2.75,3.34,True,True,"peer target requires 100.0% visible budget change; armor updates require allow_armor_updates=true; armor change requires 50.0% move, above +/-15% armor cap",-50.0,-50.0,report-only,,"SQL blocked: peer target requires 100.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor median from 10 sample(s) within 5 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 50.0% move, above +/-15% armor cap",
16606,Juju Hex Robes,4,1,Cloth,20,Robe,chest,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,5,classic_leveling,000-009,10,15,14.5,10,within 5 ilvl,peer_median,50.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,2.0,1.2,2.0,peer_+/-10_ilvl,10,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,+/-10_ilvl,1.0,1.0,2.75,3.34,True,True,"peer target requires 100.0% visible budget change; armor updates require allow_armor_updates=true; armor change requires 50.0% move, above +/-15% armor cap",-50.0,-50.0,report-only,,"SQL blocked: peer target requires 100.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor median from 10 sample(s) within 5 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 50.0% move, above +/-15% armor cap",
16607,Acolyte's Sacrificial Robes,4,1,Cloth,20,Robe,chest,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,5,classic_leveling,000-009,10,15,14.5,10,within 5 ilvl,peer_median,50.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,2.0,1.2,2.0,peer_+/-10_ilvl,10,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,+/-10_ilvl,1.0,1.0,2.75,3.34,True,True,"peer target requires 100.0% visible budget change; armor updates require allow_armor_updates=true; armor change requires 50.0% move, above +/-15% armor cap",-50.0,-50.0,report-only,,"SQL blocked: peer target requires 100.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor median from 10 sample(s) within 5 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 50.0% move, above +/-15% armor cap",
23924,Robes of Silvermoon,4,1,Cloth,20,Robe,chest,healer,2,Uncommon,1,tbc,origin_manifest,False,True,True,none,0,5,classic_leveling,000-009,10,15,14.5,10,within 5 ilvl,peer_median,50.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,no_peer_skip,0,origin=1;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,insufficient_samples,0.0,0.0,0.0,0.0,False,True,"not enough comparable peer samples; origin tbc/1 did not match SQL origin filter; armor updates require allow_armor_updates=true; armor change requires 50.0% move, above +/-15% armor cap",0.0,0.0,report-only,,"SQL blocked: origin tbc/1 did not match SQL origin filter; normal stats unchanged: not enough comparable peer samples; armor median from 10 sample(s) within 5 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 50.0% move, above +/-15% armor cap",
23931,Azure Watch Robes,4,1,Cloth,20,Robe,chest,healer,2,Uncommon,1,tbc,origin_manifest,False,True,True,none,0,5,classic_leveling,000-009,10,15,14.5,10,within 5 ilvl,peer_median,50.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,no_peer_skip,0,origin=1;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,insufficient_samples,0.0,0.0,0.0,0.0,False,True,"not enough comparable peer samples; origin tbc/1 did not match SQL origin filter; armor updates require allow_armor_updates=true; armor change requires 50.0% move, above +/-15% armor cap",0.0,0.0,report-only,,"SQL blocked: origin tbc/1 did not match SQL origin filter; normal stats unchanged: not enough comparable peer samples; armor median from 10 sample(s) within 5 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 50.0% move, above +/-15% armor cap",
1917,Jeweled Dagger,2,15,Dagger,13,One-hand Weapon,weapon_one_hand,generic,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,0,0,0.0,0,,not_checked,0.0,6.0,11.0,8.0,15.0,7.279,18,within 5 ilvl,35.294,5.3125,7.1875,+1 Stamina,+1 Stamina,0.67,0.67,0.0,,0.0,0.67,0.67,0.67,peer_+/-5_ilvl,29,origin=0;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=generic,+/-5_ilvl,0.67,0.67,0.67,0.67,False,False,,0.0,0.0,updated,,normal stats unchanged: within +/-15% peer tolerance; weapon DPS median from 18 sample(s) within 5 ilvl,
